z b_low b_med b_hi
0.0 0.6885321723303146 0.7534799999999999 0.8184278276696852
0.06896551724137931 0.7280197135065875 0.7899966982168442 0.8519736829271009
0.13793103448275862 0.769486051226188 0.8284921929770162 0.8874983347278443
0.20689655172413793 0.8128397171397204 0.86887501593112 0.9249103147225197
0.27586206896551724 0.857987397397479 0.91105185322945 0.9641163090614211
0.3448275862068966 0.9048358304503344 0.954929443322877 1.0050230561954197
0.41379310344827586 0.9532935364167072 1.0004163063298213 1.0475390762429353
0.48275862068965514 1.0032721365221047 1.04742406347579 1.0915759904294755
0.5517241379310345 1.054687300362957 1.0958683843572141 1.1370494683514711
0.6206896551724138 1.1074593445311223 1.1456695855659507 1.183879826600779
0.6896551724137931 1.161513597505817 1.1967529955812168 1.2319923936566166
0.7586206896551724 1.215720627746868 1.2490490767341142 1.2823775257213605
0.8275862068965517 1.2708888765794784 1.302493416573502 1.3340979565675257
0.896551724137931 1.3271457963803084 1.3570264273811095 1.3869070583819105
0.9655172413793103 1.3816034015940903 1.4125932976098012 1.4435831936255121
1.0344827586206897 1.4355849368285925 1.4691436117421908 1.502702286655789
1.103448275862069 1.4905036364601187 1.5266310902716045 1.5627585440830902
1.1724137931034482 1.5463169437069912 1.5850131764163644 1.6237094091257376
1.2413793103448276 1.602985828866322 1.6442508404735825 1.685515852080843
1.3103448275862069 1.660474380227028 1.704308170732176 1.7481419612373241
1.3793103448275863 1.7187496598603533 1.7651522292633888 1.8115547986664242
1.4482758620689655 1.7777811987324663 1.826752547033389 1.8757238953343116
1.5172413793103448 1.8375410877804483 1.8890812149792584 1.9406213421780685
1.5862068965517242 1.8980034593565889 1.9521123654532864 2.006221271549984
1.6551724137931034 1.959144419279229 2.015822104273814 2.0724997892683987
1.7241379310344827 2.0209417961933682 2.0801882600858406 2.139434723978313
1.793103448275862 2.0833750008920964 2.145190243682456 2.2070054864728155
1.8620689655172413 2.1464250370383824 2.2108090587266296 2.275193080414877
1.9310344827586206 2.210074083371077 2.277026883957211 2.3439796845433456
2.0 2.2743054780167706 2.3438270575007927 2.4133486369848147
