z b_low b_med b_hi
0.0 0.5524854701581913 0.7534799999999999 0.9544745298418086
0.06896551724137931 0.5890021683750355 0.7899966982168442 0.9909912280586528
0.13793103448275862 0.6274976631352075 0.8284921929770162 1.029486722818825
0.20689655172413793 0.6678804860893114 0.86887501593112 1.0698695457729288
0.27586206896551724 0.7100573233876414 0.91105185322945 1.1120463830712588
0.3448275862068966 0.7539349134810683 0.954929443322877 1.1559239731646858
0.41379310344827586 0.7994217764880126 1.0004163063298213 1.20141083617163
0.48275862068965514 0.8464295336339814 1.04742406347579 1.2484185933175989
0.5517241379310345 0.8948738545154055 1.0958683843572141 1.2968629141990229
0.6206896551724138 0.944675055724142 1.1456695855659507 1.3466641154077594
0.6896551724137931 0.9957584657394082 1.1967529955812168 1.3977475254230256
0.7586206896551724 1.0480545468923055 1.2490490767341142 1.450043606575923
0.8275862068965517 1.1014988867316933 1.302493416573502 1.5034879464153108
0.896551724137931 1.1560318975393007 1.3570264273811095 1.5580209572229182
0.9655172413793103 1.2115987677679925 1.4125932976098012 1.61358782745161
1.0344827586206897 1.268149081900382 1.4691436117421908 1.6701381415839995
1.103448275862069 1.3256365604297957 1.5266310902716045 1.7276256201134133
1.1724137931034482 1.3840186465745556 1.5850131764163644 1.7860077062581732
1.2413793103448276 1.4432563106317737 1.6442508404735825 1.8452453703153913
1.3103448275862069 1.5033136408903673 1.704308170732176 1.9053027005739849
1.3793103448275863 1.56415769942158 1.7651522292633888 1.9661467591051975
1.4482758620689655 1.6257580171915802 1.826752547033389 2.0277470768751975
1.5172413793103448 1.6880866851374496 1.8890812149792584 2.090075744821067
1.5862068965517242 1.7511178356114776 1.9521123654532864 2.153106895295095
1.6551724137931034 1.8148275744320053 2.015822104273814 2.216816634115623
1.7241379310344827 1.8791937302440318 2.0801882600858406 2.2811827899276493
1.793103448275862 1.9441957138406472 2.145190243682456 2.3461847735242647
1.8620689655172413 2.009814528884821 2.2108090587266296 2.4118035885684384
1.9310344827586206 2.0760323541154024 2.277026883957211 2.47802141379902
2.0 2.142832527658984 2.3438270575007927 2.5448215873426014
