redshift    median_ri     lambda
     0.397594     0.557018      65.9210
     0.363073     0.545277      63.9378
     0.412223     0.571815      64.6243
     0.321424     0.520233      86.5609
     0.301187     0.493267      80.7488
     0.486176     0.670689      68.3007
     0.628958     0.960409      72.4653
     0.289491     0.489681      58.0341
     0.316960     0.508923      62.2445
     0.209682     0.430202      59.0257
     0.654663      1.02119      85.1575
     0.351031     0.549026      67.5227
     0.458792     0.642229      67.7363
     0.568270     0.837334      90.0391
     0.497556     0.706320      68.0872
     0.217933     0.437599      55.7154
     0.513062     0.721861      65.4328
     0.471347     0.650375      72.5721
     0.581228     0.884180      68.1482
     0.416581     0.575373      88.0864
     0.418029     0.585476      70.3449
     0.274178     0.472811      57.5765
     0.415383     0.575701      62.7937
     0.590898     0.902372      76.0960
     0.278823     0.485376      65.2955
     0.514955     0.741131      81.4810
     0.485912     0.674946      63.2361
     0.342720     0.537268      69.5364
     0.210777     0.430723      57.0273
     0.314108     0.508579      72.5874
     0.369713     0.548557      75.0282
     0.207651     0.428923      55.7154
     0.241913     0.445137      65.0057
     0.428386     0.590162      64.7158
     0.494757     0.691135      65.1277
     0.511767     0.718313      61.3750
     0.401773     0.559511      57.4392
     0.432271     0.607115      93.7308
     0.294582     0.484831      65.9362
     0.478274     0.669357      71.6416
     0.364066     0.547224      74.7231
     0.246266     0.460886      51.4440
     0.438162     0.612675      70.7720
     0.580581     0.867163      60.0325
     0.432361     0.594990      63.4191
     0.513548     0.729130      72.3280
     0.404140     0.569429      60.8563
     0.488846     0.677073      67.4007
     0.412050     0.575140      62.8547
     0.282091     0.469913      66.1040
     0.623588     0.951382      63.2208
     0.477033     0.669405      67.3549
     0.483966     0.680510      79.3453
     0.222931     0.435177      63.0530
     0.414987     0.580261      67.4922
     0.529868     0.761635      66.5617
     0.423090     0.585531      61.1309
     0.315205     0.506092      52.1152
     0.374322     0.553459      57.6833
     0.310166     0.497421      59.1630
     0.437770     0.605301      60.6122
     0.424445     0.592974      53.9458
     0.659579      1.01049      53.2288
     0.437104     0.608135      57.7290
     0.406789     0.570118      62.7784
     0.489304     0.690290      66.3023
     0.523024     0.757011      64.8226
     0.400153     0.561970      64.8226
     0.454549     0.627710      79.9860
     0.420287     0.580317      59.0105
     0.216365     0.447111      63.8005
     0.361307     0.545588      66.7295
     0.406283     0.566544      58.0189
     0.565426     0.843365      67.0041
     0.586074     0.888124      66.1193
     0.522011     0.748798      60.9326
     0.316516     0.500004      53.8695
     0.277617     0.480471      54.2051
     0.345535     0.534092      56.6917
     0.289454     0.474060      67.7058
     0.465670     0.649153      70.8483
     0.400240     0.561203      61.4055
     0.408874     0.571318      70.8178
     0.322715     0.509136      54.3272
     0.457591     0.632034      63.2208
     0.521686     0.749132      59.8495
     0.621214     0.951447      71.4280
     0.546541     0.799799      59.5139
     0.415572     0.570072      62.7784
     0.396753     0.578833      58.3697
     0.483676     0.682777      59.2240
     0.384304     0.562916      65.0819
     0.577990     0.866405      76.8283
     0.493767     0.684223      69.5669
     0.502631     0.710464      62.4733
     0.439128     0.608639      63.1598
     0.630759     0.984619      69.5211
     0.344731     0.535444      52.6186
     0.210317     0.433985      51.0779
     0.665131      1.03305      76.6300
     0.460977     0.633661      61.4055
     0.394211     0.567406      59.8952
     0.435779     0.601028      54.0221
     0.415322     0.577990      67.1414
     0.349909     0.540087      57.4697
     0.412454     0.571005      69.3533
     0.542563     0.788374      58.7206
     0.375349     0.550762      53.3966
     0.513836     0.727587      61.6648
     0.308568     0.503504      56.2798
     0.512933     0.721926      57.5460
     0.470949     0.650757      58.0189
     0.321689     0.518257      59.3766
     0.552368     0.806091      55.8527
     0.503994     0.716505      63.8158
     0.236354     0.445690      52.0084
     0.227086     0.438076      50.7270
     0.272992     0.463726      53.9458
     0.642651     0.997559      79.9708
     0.455238     0.632471      59.3918
     0.514715     0.721775      60.7190
     0.393243     0.555584      60.9021
     0.475870     0.663971      63.3124
     0.300704     0.490950      52.5881
     0.648652     0.968754      79.1775
     0.290738     0.487776      54.0678
     0.367933     0.551058      55.2577
     0.242789     0.453821      62.1987
     0.228099     0.441885      58.2782
     0.427497     0.585518      57.9274
     0.366363     0.549801      68.0109
     0.475910     0.664145      54.4035
     0.492095     0.687262      59.9715
     0.339957     0.535349      65.4175
     0.487039     0.671278      70.7873
     0.322945     0.513161      51.5508
     0.378113     0.568661      50.0710
     0.441364     0.602488      56.4781
     0.338047     0.523005      66.1650
     0.269329     0.469315      62.6259
     0.329181     0.521511      52.5423
     0.657084      1.02787      66.3939
     0.227300     0.445887      52.0694
     0.285302     0.484419      53.4424
     0.302728     0.492966      53.1068
     0.460663     0.643452      59.7732
     0.276157     0.465639      55.7611
     0.381681     0.568478      60.3224
     0.557290     0.816919      48.6981
     0.484094     0.671516      51.5203
     0.430545     0.594530      67.2481
     0.392871     0.563898      61.2224
     0.428524     0.592899      61.8936
     0.273461     0.470238      63.0683
     0.378225     0.543289      59.1325
     0.533801     0.768904      55.2730
     0.411061     0.568298      53.1831
     0.579312     0.877293      83.0523
     0.401798     0.565502      58.4155
     0.425174     0.584366      57.5002
     0.269962     0.467943      55.4103
     0.503201     0.714251      62.1377
     0.371164     0.560968      64.2277
     0.418658     0.578270      59.7579
     0.210309     0.433765      53.9611
     0.246029     0.451565      51.8864
     0.377243     0.562168      56.4934
     0.440649     0.602322      50.6202
     0.226001     0.440104      65.9362
     0.436103     0.593609      99.0395
     0.299505     0.496281      59.4681
     0.322223     0.514381      49.7659
     0.284655     0.480133      58.0952
     0.305691     0.502972      55.9289
     0.295646     0.490496      50.4066
     0.414108     0.568666      58.2325
     0.271048     0.463823      50.4829
     0.546023     0.792492      59.3918
     0.416253     0.579014      52.7559
     0.472204     0.653822      66.8973
     0.340580     0.534092      68.2092
     0.375285     0.546150      73.1976
     0.362975     0.560833      53.8543
     0.298247     0.492720      52.6949
     0.222671     0.436413      53.7627
     0.601093     0.922024      57.9579
     0.200423     0.420664      47.9048
     0.264528     0.473793      55.6238
     0.497484     0.709173      52.2830
     0.218535     0.443438      42.2910
     0.528273     0.766026      67.7058
     0.453359     0.623371      60.1851
     0.210317     0.433382      46.5319
     0.351640     0.540293      58.8121
     0.298156     0.503920      54.9069
     0.293692     0.483099      45.4183
     0.404797     0.562836      61.6038
     0.386632     0.553167      49.9490
     0.515180     0.732082      54.5713
     0.322861     0.517162      49.0032
     0.397132     0.562616      56.9815
     0.201662     0.430578      46.8065
     0.367489     0.555483      50.3914
     0.411678     0.571890      63.5259
     0.285335     0.477724      48.6371
     0.353723     0.533810      49.0490
     0.284378     0.489790      42.0469
     0.220448     0.439514      47.6302
     0.236888     0.451979      45.9980
     0.384511     0.560980      62.8700
     0.413825     0.574648      60.3987
     0.619567     0.942316      65.8599
     0.326648     0.519802      47.9048
     0.333254     0.528444      46.2420
     0.552894     0.795063      60.8563
     0.352337     0.536472      44.8386
     0.404191     0.567120      36.0517
     0.362752     0.541046      59.2850
     0.298342     0.492926      51.5965
     0.441211     0.608511      60.0936
     0.627636     0.953766      75.1045
     0.545926     0.792761      64.8531
     0.476147     0.668491      56.2035
     0.586745     0.875645      67.3854
     0.276407     0.475771      54.3729
     0.569770     0.859310      55.7154
     0.251196     0.453091      46.5014
     0.385205     0.568270      42.3215
     0.471505     0.663950      63.7700
     0.460480     0.643688      48.1642
     0.325522     0.513926      46.7912
     0.657973      1.04693      62.0767
     0.270537     0.475651      48.1337
     0.413606     0.577789      52.9237
     0.551788     0.804316      64.8379
     0.427515     0.595747      64.8989
     0.467002     0.647301      57.3172
     0.383439     0.544806      50.0405
     0.630861     0.990040      71.2449
     0.448235     0.612423      52.8780
     0.208950     0.433767      47.4624
     0.210580     0.431263      40.7503
     0.446716     0.614044      51.6881
     0.292234     0.486837      49.0947
     0.238235     0.454681      37.8976
     0.207996     0.434933      61.2072
     0.520205     0.744696      53.5492
     0.531581     0.768879      58.5986
     0.661209      1.03761      74.4943
     0.435236     0.599274      56.3103
     0.214730     0.451340      44.9759
     0.314861     0.505999      44.6860
     0.480098     0.672735      49.2473
     0.340320     0.532797      46.4556
     0.380191     0.544937      52.8780
     0.319377     0.512068      47.1573
     0.338520     0.527954      57.1493
     0.509634     0.715397      45.9522
     0.435639     0.616049      57.4850
     0.584967     0.893589      68.3770
     0.237242     0.448750      43.9538
     0.529179     0.768591      58.6901
     0.486393     0.675659      48.0879
     0.324225     0.522650      48.4540
     0.427381     0.594904      53.9153
     0.636542     0.984415      62.2598
     0.311702     0.501915      51.6118
     0.286997     0.485418      48.6066
     0.457439     0.618599      62.6259
     0.407440     0.571512      52.6339
     0.211220     0.433069      45.4640
     0.267076     0.466230      58.2935
     0.525723     0.745569      50.0863
     0.485897     0.678577      56.1120
     0.589038     0.908104      64.3192
     0.577057     0.873129      55.6849
     0.445560     0.613632      45.1132
     0.243272     0.454769      47.2946
     0.407903     0.562021      55.5628
     0.269565     0.472889      47.7828
     0.370497     0.560467      54.1746
     0.535145     0.764690      52.9237
     0.540060     0.783173      51.1999
     0.363939     0.550327      50.1015
     0.567052     0.840790      61.3750
     0.212466     0.438313      58.4613
     0.446262     0.613247      63.8463
     0.546730     0.807360      61.6801
     0.237612     0.449783      44.6555
     0.462053     0.641571      55.5933
     0.537451     0.772703      80.4284
     0.292373     0.485508      49.3998
     0.676726      1.06899      66.4244
     0.287516     0.484161      51.2609
     0.618446     0.955223      63.4954
     0.467842     0.659418      65.3718
     0.411909     0.581343      49.6592
     0.317256     0.511625      40.4146
     0.412430     0.587910      59.7122
     0.201898     0.429214      41.7723
     0.390636     0.557644      46.7149
     0.557038     0.817677      62.7174
     0.469567     0.640259      64.6090
     0.599311     0.900015      52.6644
     0.578843     0.864515      66.3786
     0.573628     0.853985      56.8900
     0.487514     0.682697      48.4388
     0.267104     0.472992      51.8406
     0.596782     0.910509      59.4071
     0.480741     0.686417      57.5460
     0.548954     0.798159      56.0357
     0.447093     0.619822      48.7286
     0.430255     0.592215      57.5765
     0.518785     0.735464      50.0405
     0.691539      1.07864      72.0077
     0.555405     0.815554      55.9595
     0.630461     0.972956      56.6764
     0.253787     0.459476      44.1826
     0.631466     0.997477      59.9105
     0.397010     0.556438      47.0658
     0.528396     0.742409      55.6696
     0.214294     0.435980      56.7680
     0.227954     0.433008      39.6061
     0.340261     0.518711      50.6812
     0.325358     0.514732      48.5455
     0.384261     0.561060      43.0232
     0.517644     0.731697      55.2272
     0.562456     0.830133      55.2272
     0.445516     0.603668      50.8796
     0.349317     0.524555      51.2762
     0.440305     0.603098      47.7370
     0.344371     0.535194      51.7796
     0.223164     0.436687      42.4283
     0.395753     0.568796      54.6170
     0.448656     0.616722      45.3420
     0.448317     0.619328      50.2694
     0.468969     0.646416      46.8828
     0.624856     0.955679      62.0004
     0.441326     0.607479      52.8932
     0.403652     0.577892      56.6002
     0.538168     0.782036      56.8748
     0.239392     0.443777      49.1557
     0.503297     0.724054      49.6286
     0.272814     0.478779      49.0032
     0.256704     0.453938      46.8065
     0.287105     0.477272      45.2047
     0.212948     0.445225      48.9422
     0.285109     0.486769      39.1790
     0.283000     0.481340      43.6029
     0.371586     0.537367      48.3625
     0.219363     0.443375      43.3283
     0.576061     0.860140      55.8679
     0.527533     0.754610      56.6612
     0.542678     0.805218      55.3798
     0.372330     0.565882      52.2830
     0.472485     0.660273      52.5729
     0.663025      1.02190      32.3295
     0.511731     0.732594      40.0638
     0.548258     0.797661      55.7917
     0.408435     0.577141      48.7896
     0.418270     0.573483      46.1658
     0.475740     0.665892      48.6828
     0.433370     0.595913      46.2420
     0.618125     0.961903      56.9510
     0.392140     0.560192      51.1694
     0.469034     0.655159      52.3135
     0.303565     0.500324      43.1148
     0.502932     0.719002      51.1694
     0.294502     0.485352      52.8169
     0.391596     0.550852      46.0590
     0.263530     0.462845      37.8823
     0.203105     0.427170      46.8980
     0.503621     0.703165      50.4372
     0.563944     0.823048      53.4119
     0.238709     0.452850      39.2095
     0.305540     0.496952      54.3424
     0.609912     0.923292      62.4886
     0.591247     0.912418      49.2168
     0.212419     0.442974      46.6692
     0.490346     0.693909      52.0389
     0.328584     0.522558      53.8390
     0.502107     0.719162      52.3135
     0.474478     0.660551      61.1767
     0.555323     0.817074      48.3320
     0.492553     0.678890      55.2730
     0.521545     0.744598      45.3573
     0.335373     0.524860      43.6487
     0.615124     0.939575      59.9868
     0.591330     0.906189      50.0863
     0.308491     0.491013      41.8334
     0.404593     0.574745      44.5640
     0.280202     0.474733      41.4977
     0.348071     0.540619      46.8828
     0.234917     0.448391      50.3304
     0.432078     0.602945      50.2846
