# zavg mag_avg hlr_avg hlr_std
0.250 16.571 19.292 50.922
0.250 17.625 2.028 4.338
0.250 18.596 2.252 11.190
0.250 19.568 1.466 7.550
0.250 20.518 0.715 2.142
0.250 21.532 0.580 1.486
0.250 22.536 0.391 0.699
0.250 23.509 0.272 0.316
0.250 24.476 0.193 0.141
0.250 25.172 0.143 0.089
0.250 26.293 0.070 0.038
0.250 27.267 0.028 0.026
0.250 28.483 0.019 0.000
0.750 16.687 106.844 0.000
0.750 17.170 167.093 68.505
0.750 18.677 4.798 9.607
0.750 19.663 1.819 9.508
0.750 20.604 0.868 3.281
0.750 21.551 0.510 1.292
0.750 22.523 0.348 0.624
0.750 23.506 0.257 0.298
0.750 24.458 0.188 0.150
0.750 25.145 0.143 0.084
0.750 26.400 0.072 0.051
0.750 27.181 0.051 0.034
0.750 28.639 0.112 0.094
1.250 0.000 0.000 0.000
1.250 17.527 270.914 47.990
1.250 18.691 86.808 82.841
1.250 19.625 8.726 18.980
1.250 20.661 1.932 6.614
1.250 21.595 0.789 2.343
1.250 22.549 0.470 0.993
1.250 23.528 0.328 0.432
1.250 24.473 0.207 0.169
1.250 25.165 0.152 0.095
1.250 26.395 0.075 0.047
1.250 27.306 0.025 0.007
1.250 28.061 0.002 0.000
1.750 0.000 0.000 0.000
1.750 17.271 267.923 144.816
1.750 18.604 136.937 10.654
1.750 19.573 33.373 29.027
1.750 20.626 15.986 21.252
1.750 21.655 1.579 4.032
1.750 22.541 0.610 1.515
1.750 23.565 0.408 0.604
1.750 24.520 0.216 0.195
1.750 25.185 0.139 0.086
1.750 26.462 0.069 0.042
1.750 27.301 0.020 0.009
1.750 0.000 0.000 0.000
2.250 0.000 0.000 0.000
2.250 0.000 0.000 0.000
2.250 18.358 202.837 0.000
2.250 19.900 22.267 21.398
2.250 20.696 6.685 11.271
2.250 21.701 1.460 3.799
2.250 22.542 0.522 1.298
2.250 23.564 0.352 0.588
2.250 24.519 0.205 0.189
2.250 25.176 0.145 0.100
2.250 26.294 0.079 0.054
2.250 27.233 0.016 0.000
2.250 0.000 0.000 0.000
2.750 0.000 0.000 0.000
2.750 0.000 0.000 0.000
2.750 18.969 2.252 0.000
2.750 19.616 1.527 0.250
2.750 20.657 16.304 17.977
2.750 21.681 0.906 3.155
2.750 22.524 0.374 1.223
2.750 23.584 0.336 0.530
2.750 24.533 0.198 0.180
2.750 25.168 0.139 0.100
2.750 26.499 0.088 0.059
2.750 0.000 0.000 0.000
2.750 0.000 0.000 0.000
