# zavg avg_mag avg_bhlr avg_dhlr std_bhlr std_dhlr
0.250 19.166 0.470 1.415 0.784 2.360
0.250 20.527 0.331 0.830 0.719 1.383
0.250 21.525 0.253 0.674 0.437 1.107
0.250 22.525 0.197 0.480 0.377 0.680
0.250 23.535 0.131 0.316 0.184 0.231
0.250 24.544 0.086 0.218 0.087 0.127
0.250 25.184 0.062 0.163 0.045 0.083
0.250 26.326 0.051 0.121 0.029 0.087
0.250 27.184 0.021 0.034 0.012 0.012
0.250 28.425 0.015 0.017 0.000 0.000
0.250 0.000 0.000 0.000 0.000 0.000
0.750 19.578 0.803 5.471 1.451 7.125
0.750 20.622 0.494 1.460 1.404 2.589
0.750 21.571 0.239 0.717 0.451 1.099
0.750 22.539 0.163 0.459 0.266 0.621
0.750 23.529 0.117 0.311 0.148 0.356
0.750 24.513 0.082 0.211 0.086 0.131
0.750 25.162 0.062 0.160 0.045 0.080
0.750 26.354 0.049 0.112 0.030 0.087
0.750 27.278 0.038 0.058 0.024 0.027
0.750 28.599 0.017 0.033 0.008 0.010
0.750 0.000 0.000 0.000 0.000 0.000
1.250 19.331 2.454 16.261 3.245 4.160
1.250 20.600 3.066 8.753 5.486 4.035
1.250 21.642 0.781 2.754 1.375 3.514
1.250 22.634 0.279 0.800 0.475 1.186
1.250 23.578 0.154 0.399 0.202 0.352
1.250 24.522 0.092 0.233 0.094 0.149
1.250 25.187 0.066 0.162 0.051 0.086
1.250 26.375 0.054 0.101 0.036 0.048
1.250 27.173 0.068 0.111 0.038 0.032
1.250 28.386 0.033 0.036 0.019 0.014
1.250 0.000 0.000 0.000 0.000 0.000
1.750 19.279 1.885 17.609 1.406 3.657
1.750 20.565 1.967 9.276 3.468 3.589
1.750 21.559 1.922 6.244 2.735 4.261
1.750 22.597 0.786 2.129 1.179 2.057
1.750 23.634 0.208 0.559 0.297 0.843
1.750 24.578 0.098 0.237 0.099 0.174
1.750 25.199 0.066 0.156 0.049 0.087
1.750 26.281 0.050 0.096 0.034 0.052
1.750 27.165 0.016 0.020 0.005 0.002
1.750 0.000 0.000 0.000 0.000 0.000
1.750 0.000 0.000 0.000 0.000 0.000
2.250 19.611 1.906 16.778 1.410 3.865
2.250 20.512 4.666 11.320 5.912 5.261
2.250 21.462 3.037 6.158 4.928 3.367
2.250 22.598 0.746 1.954 1.198 1.531
2.250 23.676 0.160 0.450 0.206 0.534
2.250 24.582 0.094 0.223 0.096 0.166
2.250 25.193 0.065 0.156 0.047 0.095
2.250 26.347 0.060 0.102 0.041 0.044
2.250 27.574 0.013 0.021 0.002 0.001
2.250 28.228 0.013 0.014 0.000 0.000
2.250 0.000 0.000 0.000 0.000 0.000
2.750 19.119 5.411 12.492 6.256 1.315
2.750 20.510 3.143 8.794 4.153 2.749
2.750 21.558 1.926 6.074 2.749 4.172
2.750 22.584 1.304 2.870 1.834 2.626
2.750 23.690 0.201 0.494 0.310 0.546
2.750 24.604 0.093 0.214 0.101 0.162
2.750 25.195 0.065 0.148 0.053 0.087
2.750 26.382 0.046 0.082 0.036 0.043
2.750 27.245 0.029 0.119 0.011 0.135
2.750 0.000 0.000 0.000 0.000 0.000
2.750 0.000 0.000 0.000 0.000 0.000
