#theta(deg) w(theta)
0.005688898204534514 0.8294646809234754
0.007265854325140765 0.6831603850337168
0.009456249939022459 0.5764768264559993
0.012306971611012811 0.46341728381478686
0.015718450162807717 0.4006506112723078
0.020075586694258827 0.33808428879042374
0.02612765917925931 0.2784516305706627
0.033370216626851815 0.23496812143893778
0.04425527204264903 0.19352350498415405
0.05546893222510264 0.16330252520775307
0.07219083448402411 0.13780090817088297
0.09395379313145091 0.11077517714692678
0.1177603558391278 0.09123620862026127
0.15326089787816402 0.07334281977002918
0.19209504234816566 0.057545792249490364
0.25959473378629294 0.046259820890240576
0.3253723687543629 0.04097622371009676
0.4155652198014015 0.032150512677090265
0.5615894157729524 0.026479676741701732
0.7038882330635033 0.02234456263573238
0.8990052517627395 0.017962311838862502
1.1700232315072678 0.01375573495667304
1.4943523423193081 0.010534292350322527
1.9448462098999288 0.008468290352465645
2.4839553702457646 0.006178008505674126
3.232779211819108 0.004617805816781787
4.20734670097384 0.003057389827542381
5.373618427601809 0.002285272433151842
7.126442960383796 0.0018821869468882025
8.765644873077635 0.0018370812062969703
