#theta(deg) w(theta)
0.005478740082660256 1.8025976174981266
0.0069974406105894294 1.3150781267164307
0.008446495344820419 1.057162934430084
0.011414483599694823 0.8498304756412481
0.01513778236981456 0.6831603850337168
0.019333958448594955 0.6508094774155029
0.0251624565012245 0.5106341302227383
0.0321374608627837 0.45231170271201626
0.04182575767759396 0.37253115664427555
0.052423813272375795 0.30682262218424544
0.06822772090887236 0.26526561572835294
0.09395379313145091 0.21847700612813267
0.1177603558391278 0.17142008509301618
0.147599164920952 0.1446508152552816
0.18851348578767804 0.116281669671441
0.2500048378627743 0.09577144398319969
0.3315540991331969 0.08081560245888461
0.4155652198014015 0.06340904105130675
0.5208635705608022 0.0548207240961484
0.6778853369399438 0.045151225655148924
0.8990052517627395 0.0371872719993023
1.1482084864232556 0.02989404567802467
1.4664905746761159 0.02403117838320038
1.8730000962744382 0.019792463084508036
2.4839553702457646 0.015529440677875813
3.05530694305535 0.012483782327117308
4.128901937408276 0.0080672763521247
5.175107307203566 0.006029955386143108
6.735217356182035 0.00508830667121232
8.765644873077635 0.004966367752690019
