#theta(deg) w(theta)
0.00568889820453452 0.3200834046599774
0.007403897861479937 0.2573512700016916
0.009456249939022459 0.2119902023849615
0.012540791036339266 0.17462453520016244
0.01571845016280773 0.14737406155824834
0.020075586694258837 0.12742749857031374
0.02612765917925931 0.11018063301098253
0.034004215397737646 0.09526807029019847
0.04343014528256731 0.08040131611167875
0.0554689322251027 0.06622967617148345
0.07356238387622273 0.05455594781168531
0.09395379313145091 0.04604239376758793
0.11776035583912792 0.03701869055846217
0.15617269260716304 0.031241857136026743
0.19946358561033192 0.025735127000169177
0.2547546649823558 0.020691380811147943
0.33155409913319656 0.017890874899232245
0.4234605188197776 0.015098971606184232
0.5511187433819575 0.01213977189070079
0.7038882330635033 0.009760536373079031
0.9160853993389717 0.007659678234751854
1.1482084864232567 0.0060110088644056
1.5227434540371303 0.004493984590721679
1.9817962279482497 0.00352669921417467
2.531147891327695 0.0025735127000169177
3.2941985927526294 0.0017890874899232246
4.128901937408276 0.0012139771890700777
5.373618427601814 0.0009760536373079031
6.863179352150393 0.000747625680163771
9.101884854487446 0.0006622967617148352
