#theta(deg) w(theta)
0.00613370794128786 0.2407372791095435
0.007833964815688464 0.20314331116238885
0.010005530964449366 0.17142008509301618
0.013269242441973056 0.13449857307209365
0.01663148085459609 0.11913672627413077
0.022056515782399845 0.10552944334739635
0.028170556904559427 0.09123620862026127
0.03597940328119566 0.07698859763463874
0.04595285300381802 0.06819529213674777
0.059805997198663 0.056166733925016386
0.0763841516919563 0.047395635395184536
0.09755775178062262 0.03903580377821917
0.12938018632598886 0.03138004049467212
0.16524422702007605 0.026479676741701732
0.21505946056138844 0.02180908551559924
0.2798922081031996 0.018403339364181148
0.3574780102760213 0.015529440677875813
0.45657050868592075 0.01375573495667304
0.5831313351016019 0.010534292350322527
0.7447746788465808 0.008468290352465645
0.9877132771235922 0.006644337903278805
1.2615062756558193 0.004966367752690019
1.611194382395535 0.0038966809270081356
2.0969119526059217 0.0027746819211332836
2.628239791837996 0.002024258474357877
3.4855472555581866 0.001441399359534966
4.451736995767214 0.0010263670079617012
5.793776727549815 0.0008250742947479511
7.399805055610455 0.0006019297636956647
9.6305820313207 0.0004957589859905356
