#theta(deg) w(theta)
0.006019346729000986 0.4414722617294737
0.0076879028052519605 0.37253115664427555
0.009818980730623263 0.30682262218424544
0.012540791036339247 0.25270402167706285
0.015718450162807717 0.213241305615037
0.021241708456752093 0.1843592425812831
0.02712988591373467 0.15556937055980552
0.03465025947375232 0.13449857307209365
0.04425527204264903 0.116281669671441
0.05869093166128621 0.09577144398319969
0.07356238387622273 0.07887889388364919
0.09395379313145091 0.06340904105130675
0.1246006497639987 0.05222470093723736
0.15617269260716288 0.04406919739268304
0.19946358561033192 0.034577302668657835
0.2695524870065342 0.028478419814389876
0.33785327584167135 0.0252257375572909
0.439703973698157 0.02128644085725383
0.572259019849063 0.01753185333442858
0.7447746788465808 0.01375573495667304
0.951225373876333 0.010792940175163992
1.2149039670729205 0.008468290352465645
1.5516739668063257 0.006329696764240037
2.0194482572028107 0.004966367752690019
2.5311478913276897 0.003536366224285304
3.3567848768697774 0.0023988704060346933
4.368735645769553 0.0014767899483541748
5.475711486103793 0.0011871595790563965
6.993572490507523 0.0009777636272851223
8.932182841281366 0.000767166884792318
