# bins 	  N(yvalues)
1.0000000000000000e+01 0.0000000000000000e+00
1.0100000000000000e+01 1.0000000000000000e+01
1.0199999999999999e+01 5.0000000000000000e+01
1.0300000000000001e+01 1.0000000000000000e+02
1.0400000000000000e+01 2.5000000000000000e+02
1.0500000000000000e+01 5.0000000000000000e+02
1.0600000000000000e+01 7.0000000000000000e+02
1.0699999999999999e+01 1.0000000000000000e+03
1.0800000000000001e+01 1.2000000000000000e+03
1.0900000000000000e+01 2.0000000000000000e+03
1.1000000000000000e+01 4.5000000000000000e+03
1.1100000000000000e+01 9.7000000000000000e+03
1.1199999999999999e+01 1.4000000000000000e+04
1.1300000000000001e+01 1.5000000000000000e+04
1.1400000000000000e+01 1.2500000000000000e+04
1.1500000000000000e+01 9.0000000000000000e+03
1.1600000000000000e+01 6.0000000000000000e+03
1.1699999999999999e+01 3.0000000000000000e+03
1.1800000000000001e+01 1.8000000000000000e+03
1.1900000000000000e+01 8.0000000000000000e+02
1.2000000000000000e+01 2.5000000000000000e+02
1.2100000000000000e+01 1.5000000000000000e+02
1.2199999999999999e+01 1.0000000000000000e+02
1.2300000000000001e+01 5.0000000000000000e+01
1.2400000000000000e+01 1.0000000000000000e+01
1.2500000000000000e+01 0.0000000000000000e+00
